-1, [256, 256, 256], 1.84, 0.9095
-1, [256, 256, 320], 2.00, 0.6734
-1, [256, 320, 320], 2.19, 1.1383
-1, [320, 320, 320], 2.27, 1.5060
-1, [320, 320, 384], 2.69, 1.5469
-1, [320, 384, 384], 3.42, 1.4957
-1, [384, 384, 384], 3.75, 1.3956
-1, [384, 384, 448], 4.08, 1.7507
-1, [384, 448, 448], 4.47, 1.4286
-1, [448, 448, 448], 4.91, 1.8868
-1, [448, 448, 512], 5.36, 1.4048
-1, [448, 512, 512], 5.87, 0.9536
-1, [512, 512, 512], 6.52, 1.2570
-1, [512, 512, 576], 7.14, 1.0010
-1, [512, 576, 576], 8.34, 1.4496
-1, [576, 576, 576], 9.17, 2.0328
-1, [576, 576, 640], 9.98, 1.9681
-1, [576, 640, 640], 10.89, 1.7708
-1, [640, 640, 640], 11.91, 2.2994
-1, [640, 640, 704], 12.92, 1.9400
-1, [640, 704, 704], 14.03, 1.8980
-1, [704, 704, 704], 15.26, 1.8755
-1, [704, 704, 768], 16.48, 1.7400
-1, [704, 768, 768], 17.82, 2.6724
-1, [768, 768, 768], 19.28, 2.5054
-1, [768, 768, 832], 20.74, 3.0011
-1, [768, 832, 832], 22.32, 2.6845
-1, [832, 832, 832], 24.04, 3.6197
-1, [832, 832, 896], 25.75, 3.6296
-1, [832, 896, 896], 27.59, 4.1360
-1, [896, 896, 896], 29.58, 3.9214
-1, [896, 896, 960], 31.56, 3.9188
-1, [896, 960, 960], 33.69, 4.6183
-1, [960, 960, 960], 35.97, 4.3012
-1, [960, 960, 1024], 38.25, 5.1605
-1, [960, 1024, 1024], 40.68, 4.3099
-1, [1024, 1024, 1024], 43.27, 5.1068
-1, [1024, 1024, 1088], 45.87, 4.9679
-1, [1024, 1088, 1088], 48.62, 5.6331
-1, [1088, 1088, 1088], 51.56, 6.6211
-1, [1088, 1088, 1152], 54.48, 5.8483
-1, [1088, 1152, 1152], 57.58, 6.5759
-1, [1152, 1152, 1152], 60.86, 6.9771
-1, [1152, 1152, 1216], 64.14, 7.6725
-1, [1152, 1216, 1216], 67.61, 6.9476
-1, [1216, 1216, 1216], 71.27, 8.1867
-1, [1216, 1216, 1280], 74.92, 8.3182
-1, [1216, 1280, 1280], 78.77, 8.4935
-1, [1280, 1280, 1280], 82.83, 8.6784
-1, [1280, 1280, 1344], 86.88, 9.2543
-1, [1280, 1344, 1344], 91.14, 9.9165
-1, [1344, 1344, 1344], 74.13, 11.1401
-1, [1344, 1344, 1408], 77.57, 11.6940
-1, [1344, 1408, 1408], 81.18, 12.2909
-1, [1408, 1408, 1408], 84.96, 12.4621
-1, [1408, 1408, 1472], 88.74, 13.1603
-1, [1408, 1472, 1472], 92.70, 13.5586
0, [256, 256, 256], 2.09, 1.0740
0, [256, 256, 320], 2.33, 1.1292
0, [256, 320, 320], 2.63, 1.1329
0, [320, 320, 320], 3.00, 1.0548
0, [320, 320, 384], 3.37, 1.0864
0, [320, 384, 384], 3.82, 1.3050
0, [384, 384, 384], 4.35, 1.0135
0, [384, 384, 448], 4.89, 1.2846
0, [384, 448, 448], 5.52, 1.4012
0, [448, 448, 448], 6.25, 1.1493
0, [448, 448, 512], 6.98, 1.0114
0, [448, 512, 512], 7.81, 0.9863
0, [512, 512, 512], 8.76, 1.1355
0, [512, 512, 576], 9.72, 0.8227
0, [512, 576, 576], 10.79, 1.5046
0, [576, 576, 576], 12.00, 1.3922
0, [576, 576, 640], 13.20, 1.2768
0, [576, 640, 640], 14.54, 1.4372
0, [640, 640, 640], 16.03, 1.6409
0, [640, 640, 704], 17.52, 3.9353
0, [640, 704, 704], 19.16, 4.5074
0, [704, 704, 704], 20.96, 3.8746
0, [704, 704, 768], 22.76, 4.6357
0, [704, 768, 768], 24.73, 5.0132
0, [768, 768, 768], 26.24, 55.1476
0, [768, 768, 832], 28.33, 59.1868
0, [768, 832, 832], 30.59, 63.4818
0, [832, 832, 832], 24.46, 135.7915
0, [832, 832, 896], 26.26, 148.6998
0, [832, 896, 896], 28.19, 161.1973
0, [896, 896, 896], 30.27, 173.5387
0, [896, 896, 960], 32.35, 184.1573
0, [896, 960, 960], 34.59, 197.7949
0, [960, 960, 960], 36.97, 211.8643
0, [960, 960, 1024], 39.36, 230.5330
0, [960, 1024, 1024], 41.91, 246.4002
0, [1024, 1024, 1024], 44.63, 265.9908
0, [1024, 1024, 1088], 47.35, 277.6450
0, [1024, 1088, 1088], 50.24, 296.5274
0, [1088, 1088, 1088], 53.31, 314.1470
0, [1088, 1088, 1152], 56.38, 336.4501
0, [1088, 1152, 1152], 59.63, 357.9461
0, [1152, 1152, 1152], 63.07, 378.5561
0, [1216, 1216, 1280], 77.81, 470.9942
0, [1216, 1280, 1280], 81.84, 495.7477
0, [1280, 1280, 1280], 86.09, 521.6495
