0, [256, 256, 256], 10.94, 1.2544
0, [256, 256, 320], 13.41, 1.3358
0, [256, 320, 320], 16.51, 1.575
0, [320, 320, 320], 20.38, 1.967
0, [320, 320, 384], 24.25, 2.133
0, [320, 384, 384], 26.78, 8.2834
0, [384, 384, 384], 31.93, 9.7237
0, [384, 384, 448], 37.08, 11.2285
0, [384, 448, 448], 43.09, 13.1118
0, [448, 448, 448], 39.04, 49.1286
0, [448, 448, 512], 44.47, 56.6462
0, [448, 512, 512], 50.67, 64.5378
0, [512, 512, 512], 57.77, 73.5432
0, [512, 512, 576], 64.86, 82.4349
0, [512, 576, 576], 72.84, 92.9243
0, [576, 576, 576], 79.69, 115.8247
0, [576, 576, 640], 88.43, 129.8724
0, [576, 640, 640], 77.04, 144.4998
0, [640, 640, 640], 85.49, 160.8409
0, [640, 640, 704], 91.79, 175.3404
1, [256, 256, 256], 7.29, 2.0394
1, [256, 256, 320], 8.61, 2.6680
1, [256, 320, 320], 9.88, 3.0887
1, [320, 320, 320], 11.94, 3.1922
1, [320, 320, 384], 14.00, 3.7040
1, [320, 384, 384], 15.90, 3.8142
1, [384, 384, 384], 18.87, 4.6149
1, [384, 384, 448], 21.84, 4.7004
1, [384, 448, 448], 25.30, 5.2435
1, [448, 448, 448], 29.35, 5.7063
1, [448, 448, 512], 33.39, 5.7579
1, [448, 512, 512], 38.01, 6.6635
1, [512, 512, 512], 43.29, 7.1363
1, [512, 512, 576], 48.57, 7.5918
1, [512, 576, 576], 54.51, 8.8218
1, [576, 576, 576], 61.20, 9.5439
1, [576, 576, 640], 67.88, 10.9298
1, [576, 640, 640], 75.31, 12.0758
1, [640, 640, 640], 83.56, 13.6173
1, [640, 640, 704], 91.81, 14.9814
3, [256, 256, 256], 3.28, 3.09
3, [256, 256, 320], 3.99, 3.9285
3, [256, 320, 320], 3.89, 4.7634
3, [320, 320, 320], 4.51, 5.8279
3, [320, 320, 384], 5.08, 6.7888
3, [320, 384, 384], 5.26, 8.4135
3, [384, 384, 384], 5.41, 9.1013
3, [384, 384, 448], 6.03, 10.8063
3, [384, 448, 448], 6.76, 12.4194
3, [448, 448, 448], 7.65, 14.301
3, [448, 448, 512], 8.32, 16.1927
3, [448, 512, 512], 8.9, 18.2319
3, [512, 512, 512], 9.42, 20.5231
3, [512, 512, 576], 10.09, 23.0766
3, [512, 576, 576], 11.08, 26.3691
3, [576, 576, 576], 12.19, 29.4622
3, [576, 576, 640], 13.3, 32.5728
3, [576, 640, 640], 14.34, 35.9763
3, [640, 640, 640], 15.7, 39.7938
3, [640, 640, 704], 17.26, 43.9867
3, [640, 704, 704], 18.76, 48.3156
3, [704, 704, 704], 20.42, 53.2302
3, [704, 704, 768], 22.07, 57.8617
3, [704, 768, 768], 23.69, 62.7201
3, [768, 768, 768], 25.66, 68.4716
3, [768, 768, 832], 27.81, 73.8593
3, [768, 832, 832], 29.95, 80.161
3, [832, 832, 832], 32.26, 87.4415
3, [832, 832, 896], 34.57, 93.5283
3, [832, 896, 896], 36.87, 100.3628
3, [896, 896, 896], 39.55, 108.5536
3, [896, 896, 960], 42.42, 116.1871
3, [896, 960, 960], 45.29, 125.8318
3, [960, 960, 960], 48.37, 134.4029
3, [960, 960, 1024], 51.44, 143.0211
3, [960, 1024, 1024], 54.53, 152.445
3, [1024, 1024, 1024], 58.03, 162.332
3, [1024, 1024, 1088], 61.72, 172.4732
3, [1024, 1088, 1088], 65.44, 184.3965
3, [1088, 1088, 1088], 69.4, 195.3259
3, [1088, 1088, 1152], 73.34, 206.4777
3, [1088, 1152, 1152], 77.34, 216.6894
3, [1152, 1152, 1152], 81.77, 230.3707
3, [1152, 1152, 1216], 86.39, 243.7769
3, [1152, 1216, 1216], 91.06, 262.3528
3, [1216, 1216, 1216], 85.52, 275.8277
3, [1216, 1216, 1280], 89.92, 290.6428
3, [1216, 1280, 1280], 94.56, 304.8489
2, [256, 256, 256], 3.84, 3.5891
2, [256, 256, 320], 4.93, 4.0807
2, [256, 320, 320], 5.06, 4.7156
2, [320, 320, 320], 5.97, 5.0851
2, [320, 320, 384], 6.84, 6.2479
2, [320, 384, 384], 7.37, 6.8432
2, [384, 384, 384], 7.94, 7.8483
2, [384, 384, 448], 8.99, 9.0208
2, [384, 448, 448], 9.99, 11.2409
2, [448, 448, 448], 11.17, 12.5073
2, [448, 448, 512], 12.34, 13.7561
2, [448, 512, 512], 13.49, 15.4024
2, [512, 512, 512], 15.02, 17.0335
2, [512, 512, 576], 16.74, 19.4434
2, [512, 576, 576], 18.46, 21.7652
2, [576, 576, 576], 20.41, 24.6011
2, [576, 576, 640], 22.34, 27.7220
2, [576, 640, 640], 24.30, 30.5230
2, [640, 640, 640], 26.34, 32.9575
2, [640, 640, 704], 28.92, 36.6629
2, [640, 704, 704], 31.56, 40.0227
2, [704, 704, 704], 34.45, 44.5541
2, [704, 704, 768], 37.34, 48.4266
2, [704, 768, 768], 43.99, 52.2299
2, [768, 768, 768], 47.81, 56.5344
2, [768, 768, 832], 47.39, 61.3465
2, [768, 832, 832], 51.13, 66.3743
2, [832, 832, 832], 55.18, 72.3499
2, [832, 832, 896], 59.21, 77.9233
2, [832, 896, 896], 69.53, 82.9965
2, [896, 896, 896], 74.72, 89.0742
2, [896, 896, 960], 80.10, 96.6924
2, [896, 960, 960], 85.66, 103.6071
2, [960, 960, 960], 91.63, 111.3197
2, [960, 960, 1024], 87.92, 118.6653
2, [960, 1024, 1024], 93.66, 128.3115
