0, [256, 256, 256], 10.94, 0.978
0, [256, 256, 320], 13.41, 1.0696
0, [256, 320, 320], 16.51, 1.2582
0, [320, 320, 320], 20.38, 1.4458
0, [320, 320, 384], 24.25, 1.7085
0, [320, 384, 384], 26.78, 7.6797
0, [384, 384, 384], 31.93, 8.9413
0, [384, 384, 448], 37.08, 10.369
0, [384, 448, 448], 43.09, 12.033
0, [448, 448, 448], 39.04, 48.4045
0, [448, 448, 512], 44.47, 55.896
0, [448, 512, 512], 50.67, 63.8371
0, [512, 512, 512], 57.77, 72.7262
0, [512, 512, 576], 64.86, 81.5192
0, [512, 576, 576], 72.84, 91.9052
0, [576, 576, 576], 79.69, 114.5791
0, [576, 576, 640], 88.43, 128.5576
0, [576, 640, 640], 77.04, 143.0345
0, [640, 640, 640], 85.49, 159.2419
0, [640, 640, 704], 91.79, 173.3905
1, [256, 256, 256], 7.29, 1.6731
1, [256, 256, 320], 8.61, 2.5728
1, [256, 320, 320], 9.88, 2.0709
1, [320, 320, 320], 11.94, 2.5497
1, [320, 320, 384], 14.00, 2.6885
1, [320, 384, 384], 15.90, 3.7359
1, [384, 384, 384], 18.87, 3.7186
1, [384, 384, 448], 21.84, 4.4202
1, [384, 448, 448], 25.30, 4.6837
1, [448, 448, 448], 29.35, 4.6537
1, [448, 448, 512], 33.39, 5.1904
1, [448, 512, 512], 38.01, 6.2074
1, [512, 512, 512], 43.29, 6.2380
1, [512, 512, 576], 48.57, 6.6708
1, [512, 576, 576], 54.51, 7.8263
1, [576, 576, 576], 61.20, 8.8404
1, [576, 576, 640], 67.88, 9.6356
1, [576, 640, 640], 75.31, 10.6051
1, [640, 640, 640], 83.56, 12.0986
1, [640, 640, 704], 91.81, 12.6972
3, [256, 256, 256], 3.39, 1.8997
3, [256, 256, 320], 3.53, 1.7152
3, [256, 320, 320], 4.07, 2.0851
3, [320, 320, 320], 4.35, 2.4553
3, [320, 320, 384], 4.62, 2.8307
3, [320, 384, 384], 5.12, 2.9849
3, [384, 384, 384], 5.74, 3.4604
3, [384, 384, 448], 6.05, 3.898
3, [384, 448, 448], 6.34, 4.6226
3, [448, 448, 448], 7.01, 5.8777
3, [448, 448, 512], 8.02, 5.8168
3, [448, 512, 512], 8.44, 6.6626
3, [512, 512, 512], 8.96, 7.0924
3, [512, 512, 576], 9.45, 8.0125
3, [512, 576, 576], 10.43, 9.236
3, [576, 576, 576], 11.55, 10.119
3, [576, 576, 640], 12.65, 11.0715
3, [576, 640, 640], 13.88, 12.2193
3, [640, 640, 640], 15.25, 13.7526
3, [640, 640, 704], 16.61, 14.8931
3, [640, 704, 704], 18.12, 16.3703
3, [704, 704, 704], 19.78, 17.965
3, [704, 704, 768], 21.43, 19.3531
3, [704, 768, 768], 23.23, 21.0136
3, [768, 768, 768], 25.2, 22.9015
3, [768, 768, 832], 27.17, 24.731
3, [768, 832, 832], 29.3, 26.7928
3, [832, 832, 832], 31.62, 29.1374
3, [832, 832, 896], 33.92, 31.4264
3, [832, 896, 896], 36.41, 33.5187
3, [896, 896, 896], 39.09, 36.0103
3, [896, 896, 960], 41.77, 38.4862
3, [896, 960, 960], 44.64, 41.4573
3, [960, 960, 960], 47.72, 44.8172
3, [960, 960, 1024], 50.79, 47.3722
3, [960, 1024, 1024], 54.07, 50.3102
3, [1024, 1024, 1024], 57.57, 53.896
3, [1024, 1024, 1088], 61.07, 56.7872
3, [1024, 1088, 1088], 64.79, 60.5396
3, [1088, 1088, 1088], 68.75, 64.4865
3, [1088, 1088, 1152], 72.7, 68.2757
3, [1088, 1152, 1152], 76.88, 71.5451
3, [1152, 1152, 1152], 81.31, 75.5708
3, [1152, 1152, 1216], 85.74, 80.011
3, [1152, 1216, 1216], 90.42, 84.6548
3, [1216, 1216, 1216], 95.36, 89.5956
3, [1216, 1216, 1280], 89.92, 94.2009
3, [1216, 1280, 1280], 94.56, 98.8898
2, [256, 256, 256], 4.12, 1.5898
2, [256, 256, 320], 4.45, 1.7412
2, [256, 320, 320], 5.21, 2.5335
2, [320, 320, 320], 5.79, 3.1731
2, [320, 320, 384], 6.35, 2.9372
2, [320, 384, 384], 7.07, 3.5968
2, [384, 384, 384], 7.93, 3.9594
2, [384, 384, 448], 8.79, 4.1877
2, [384, 448, 448], 9.80, 4.3899
2, [448, 448, 448], 10.85, 5.1673
2, [448, 448, 512], 12.37, 5.6120
2, [448, 512, 512], 13.54, 6.0640
2, [512, 512, 512], 15.08, 5.9004
2, [512, 512, 576], 16.61, 7.3667
2, [512, 576, 576], 18.33, 7.6537
2, [576, 576, 576], 20.27, 9.1127
2, [576, 576, 640], 22.21, 9.4555
2, [576, 640, 640], 25.39, 9.9515
2, [640, 640, 640], 28.04, 11.6943
2, [640, 640, 704], 30.68, 12.4922
2, [640, 704, 704], 33.60, 13.5322
2, [704, 704, 704], 36.81, 14.8934
2, [704, 704, 768], 40.01, 16.0038
2, [704, 768, 768], 43.50, 17.0862
2, [768, 768, 768], 47.32, 19.0957
2, [768, 768, 832], 51.13, 20.7318
2, [768, 832, 832], 55.27, 21.8397
2, [832, 832, 832], 59.75, 23.9152
2, [832, 832, 896], 64.22, 25.8480
2, [832, 896, 896], 69.04, 27.5061
2, [896, 896, 896], 74.23, 29.7052
2, [896, 896, 960], 79.42, 31.9678
2, [896, 960, 960], 84.99, 33.8725
2, [960, 960, 960], 83.07, 36.1028
2, [960, 960, 1024], 88.45, 39.1374
2, [960, 1024, 1024], 94.19, 41.4357
