0, [256, 256, 256], 7.90, 0.5814
0, [256, 256, 320], 9.66, 0.6249
0, [256, 320, 320], 11.85, 0.4515
0, [320, 320, 320], 14.60, 0.4864
0, [320, 320, 384], 17.35, 0.5153
0, [320, 384, 384], 15.02, 3.9711
0, [384, 384, 384], 17.85, 4.6177
0, [384, 384, 448], 20.68, 5.2844
0, [384, 448, 448], 23.98, 6.1245
0, [448, 448, 448], 27.83, 7.0895
0, [448, 448, 512], 31.68, 8.2175
0, [448, 512, 512], 36.09, 9.3456
1, [256, 256, 256], 7.90, 0.4366
1, [256, 256, 320], 9.66, 0.4952
1, [256, 320, 320], 11.85, 0.4853
1, [320, 320, 320], 14.60, 0.5304
1, [320, 320, 384], 17.35, 0.5336
1, [320, 384, 384], 15.02, 4.1195
1, [384, 384, 384], 17.85, 4.5847
1, [384, 384, 448], 20.68, 5.3463
1, [384, 448, 448], 23.98, 6.1615
1, [448, 448, 448], 27.83, 7.1721
1, [448, 448, 512], 31.68, 8.2434
1, [448, 512, 512], 36.09, 9.5274
1, [512, 512, 512], 38.11, 16.9797
1, [512, 512, 576], 42.77, 18.7479
1, [512, 576, 576], 48.01, 21.1661
1, [576, 576, 576], 51.05, 30.5177
1, [576, 576, 640], 56.63, 34.7688
1, [576, 640, 640], 62.83, 38.6447
1, [640, 640, 640], 69.71, 42.8164
1, [640, 640, 704], 76.59, 46.4300
1, [640, 704, 704], 84.17, 51.4229
1, [704, 704, 704], 92.50, 56.2834
1, [704, 704, 768], 80.97, 62.8583
1, [704, 768, 768], 88.26, 68.5833
2, [256, 256, 256], 7.28, 0.5372
2, [256, 256, 320], 8.88, 0.5152
2, [256, 320, 320], 10.19, 0.5631
2, [320, 320, 320], 11.52, 0.6685
2, [320, 320, 384], 12.97, 0.7160
2, [320, 384, 384], 13.84, 0.7625
2, [384, 384, 384], 16.39, 0.8838
2, [384, 384, 448], 18.94, 0.9715
2, [384, 448, 448], 21.98, 1.1465
2, [448, 448, 448], 25.45, 1.3014
2, [448, 448, 512], 28.86, 1.3444
2, [448, 512, 512], 32.83, 1.5031
2, [512, 512, 512], 37.36, 1.6781
2, [512, 512, 576], 41.52, 1.8926
2, [512, 576, 576], 46.26, 2.0947
2, [576, 576, 576], 50.48, 2.3530
2, [576, 576, 640], 55.68, 2.5539
2, [576, 640, 640], 61.52, 2.8908
2, [640, 640, 640], 68.01, 3.2575
2, [640, 640, 704], 74.51, 3.3709
2, [640, 704, 704], 79.72, 3.7185
2, [704, 704, 704], 87.58, 4.1071
2, [704, 704, 768], 95.37, 4.4149
2, [704, 768, 768], 88.26, 5.0009
3, [256, 256, 256], 3.38, 0.4582
3, [256, 256, 320], 3.85, 0.5024
3, [256, 320, 320], 4.10, 0.5275
3, [320, 320, 320], 4.42, 0.6874
3, [320, 320, 384], 4.71, 0.6605
3, [320, 384, 384], 5.47, 0.6585
3, [384, 384, 384], 6.05, 0.7588
3, [384, 384, 448], 6.28, 0.7597
3, [384, 448, 448], 7.03, 0.8470
3, [448, 448, 448], 7.36, 0.8804
3, [448, 448, 512], 8.24, 0.9444
3, [448, 512, 512], 9.24, 1.0226
3, [512, 512, 512], 10.38, 1.1179
3, [512, 512, 576], 12.35, 1.2357
3, [512, 576, 576], 13.44, 1.3195
3, [576, 576, 576], 14.67, 1.6390
3, [576, 576, 640], 15.34, 1.5923
3, [576, 640, 640], 16.70, 1.7146
3, [640, 640, 640], 18.22, 1.8553
3, [640, 640, 704], 19.73, 1.9865
3, [640, 704, 704], 20.30, 2.2076
3, [704, 704, 704], 22.41, 2.3456
3, [704, 704, 768], 24.24, 2.5171
3, [704, 768, 768], 26.23, 2.6951
3, [768, 768, 768], 28.41, 3.1786
3, [768, 768, 832], 30.59, 3.2559
3, [768, 832, 832], 32.95, 3.4614
3, [832, 832, 832], 34.42, 3.6052
3, [832, 832, 896], 36.97, 3.8962
3, [832, 896, 896], 39.73, 4.1041
3, [896, 896, 896], 42.69, 4.4014
3, [896, 896, 960], 45.66, 4.7665
3, [896, 960, 960], 48.84, 5.0062
3, [960, 960, 960], 52.25, 5.3098
3, [960, 960, 1024], 55.65, 5.6771
3, [960, 1024, 1024], 59.28, 6.0512
3, [1024, 1024, 1024], 63.16, 6.4625
3, [1024, 1024, 1088], 67.03, 7.0492
