0, [256, 256, 256], 5.34, 0.6448
0, [320, 320, 320], 17.01, 0.8322
0, [384, 384, 384], 47.89, 1.0013
0, [400, 400, 400], 60.71, 1.3118
0, [416, 416, 416], 76.34, 1.0762
0, [432, 432, 432], 95.27, 1.6265
1, [256, 256, 256], 2.47, 0.5919
1, [320, 320, 320], 3.94, 1.0317
1, [384, 384, 384], 6.12, 0.7824
1, [400, 400, 400], 6.80, 0.7485
1, [416, 416, 416], 7.52, 0.8697
1, [432, 432, 432], 8.31, 0.9411
1, [448, 448, 448], 9.15, 0.7358
1, [512, 512, 512], 13.20, 6.5155
1, [576, 576, 576], 18.39, 8.9945
1, [640, 640, 640], 24.87, 12.9554
1, [704, 704, 704], 35.16, 16.8191
1, [768, 768, 768], 45.34, 22.8104
1, [832, 832, 832], 57.35, 30.7232
1, [896, 896, 896], 71.39, 40.0583
1, [960, 960, 960], 87.59, 51.0546
2, [256, 256, 256], 2.59, 0.7040
2, [320, 320, 320], 3.94, 0.9210
2, [384, 384, 384], 6.12, 0.7908
2, [400, 400, 400], 6.80, 0.8986
2, [416, 416, 416], 7.52, 1.4440
2, [432, 432, 432], 8.31, 0.9524
2, [448, 448, 448], 9.15, 0.9755
2, [512, 512, 512], 13.20, 1.4275
2, [576, 576, 576], 18.39, 1.6038
2, [640, 640, 640], 24.87, 2.2521
2, [704, 704, 704], 35.16, 3.1916
2, [768, 768, 768], 45.34, 4.7606
2, [832, 832, 832], 57.35, 7.9792
2, [896, 896, 896], 71.39, 11.5549
2, [960, 960, 960], 87.59, 16.2107
2, [1024, 1024, 1024], 91.01, 24.0440
3, [256, 256, 256], 2.59, 0.7877
3, [320, 320, 320], 3.22, 0.8456
3, [384, 384, 384], 4.51, 0.8059
3, [400, 400, 400], 4.92, 0.8639
3, [416, 416, 416], 4.84, 1.0742
3, [432, 432, 432], 5.31, 0.9163
3, [448, 448, 448], 5.80, 0.7857
3, [512, 512, 512], 8.20, 1.1248
3, [576, 576, 576], 11.27, 1.4556
3, [640, 640, 640], 15.11, 2.3458
3, [704, 704, 704], 22.16, 3.1467
3, [768, 768, 768], 28.46, 4.6438
3, [832, 832, 832], 35.90, 7.7687
3, [896, 896, 896], 44.59, 11.3832
3, [960, 960, 960], 54.63, 16.0279
3, [1024, 1024, 1024], 66.09, 23.0039
3, [1088, 1088, 1088], 79.09, 31.6186
3, [1152, 1152, 1152], 93.70, 44.1824
3, [1216, 1216, 1216], 86.46, 58.9509
