3, [256, 256, 256], 5.68, 2.1336
3, [256, 256, 320], 5.84, 2.2709
3, [256, 320, 320], 6.60, 2.3770
3, [320, 320, 320], 11.55, 2.7863
3, [320, 320, 384], 12.18, 3.0319
3, [320, 384, 384], 11.19, 3.5211
3, [384, 384, 384], 12.51, 4.0643
3, [384, 384, 448], 13.83, 4.7843
3, [384, 448, 448], 13.27, 4.8274
3, [448, 448, 448], 15.06, 6.0900
3, [448, 448, 512], 16.83, 6.7655
3, [448, 512, 512], 18.86, 7.3478
3, [512, 512, 512], 21.17, 8.5021
3, [512, 512, 576], 21.86, 9.7793
3, [512, 576, 576], 22.64, 10.7340
3, [576, 576, 576], 23.50, 12.4002
3, [576, 576, 640], 24.25, 13.3692
3, [576, 640, 640], 25.08, 14.6473
3, [640, 640, 640], 22.11, 16.2368
3, [640, 640, 704], 23.04, 17.6779
3, [640, 704, 704], 24.06, 19.0988
3, [704, 704, 704], 25.18, 21.1087
3, [704, 704, 768], 30.20, 22.2697
3, [704, 768, 768], 21.75, 24.4059
3, [768, 768, 768], 31.76, 26.1175
3, [768, 768, 832], 24.68, 28.7336
3, [768, 832, 832], 26.12, 31.0093
3, [832, 832, 832], 32.80, 35.5763
3, [832, 832, 896], 29.51, 38.1041
3, [832, 896, 896], 32.41, 41.4058
3, [896, 896, 896], 27.62, 44.1431
3, [896, 896, 960], 29.44, 47.4006
3, [896, 960, 960], 36.50, 50.3881
3, [960, 960, 960], 33.47, 54.1727
3, [960, 960, 1024], 35.56, 57.2699
3, [960, 1024, 1024], 37.78, 60.9831
3, [1024, 1024, 1024], 40.16, 63.8456
3, [1024, 1024, 1088], 42.54, 69.1338
3, [1024, 1088, 1088], 45.06, 74.1377
3, [1088, 1088, 1088], 47.74, 78.5340
3, [1088, 1088, 1152], 50.42, 83.0506
3, [1088, 1152, 1152], 53.26, 88.4159
3, [1152, 1152, 1152], 56.27, 93.3577
3, [1152, 1152, 1216], 59.27, 97.8219
3, [1152, 1216, 1216], 62.45, 103.1359
3, [1216, 1216, 1216], 65.80, 108.7682
3, [1216, 1216, 1280], 69.14, 114.1676
3, [1216, 1280, 1280], 72.67, 120.0804
3, [1280, 1280, 1280], 76.38, 125.8910
3, [1280, 1280, 1344], 80.09, 205.8018
3, [1280, 1344, 1344], 83.99, 216.2438
3, [1344, 1344, 1344], 88.08, 228.6541
3, [1344, 1344, 1408], 92.17, 238.5979
0, [256, 256, 256], 11.60, 0.9380
0, [256, 256, 320], 13.96, 0.9371
0, [256, 320, 320], 16.91, 1.5992
0, [320, 320, 320], 20.60, 1.1185
0, [320, 320, 384], 24.28, 1.8251
0, [320, 384, 384], 28.71, 1.5725
0, [384, 384, 384], 34.01, 1.7611
0, [384, 384, 448], 39.32, 2.1844
1, [256, 256, 256], 11.60, 0.8743
1, [256, 256, 320], 13.96, 0.9654
1, [256, 320, 320], 16.91, 1.2149
1, [320, 320, 320], 20.60, 1.8903
1, [320, 320, 384], 24.28, 1.6088
1, [320, 384, 384], 28.71, 1.8664
1, [384, 384, 384], 34.02, 1.8757
1, [384, 384, 448], 39.33, 1.9756
1, [384, 448, 448], 30.58, 31.4706
1, [448, 448, 448], 35.32, 37.1415
1, [448, 448, 512], 40.06, 42.4552
1, [448, 512, 512], 45.47, 49.0572
1, [512, 512, 512], 51.66, 55.7625
1, [512, 512, 576], 57.85, 61.6928
1, [512, 576, 576], 63.22, 120.3374
1, [576, 576, 576], 70.85, 134.8939
1, [576, 576, 640], 78.49, 150.9280
1, [576, 640, 640], 86.97, 167.9988
1, [640, 640, 640], 80.76, 186.9788
1, [640, 640, 704], 95.07, 224.5178
2, [256, 256, 256], 10.64, 1.5458
2, [256, 256, 320], 11.80, 1.4789
2, [256, 320, 320], 12.85, 1.8218
2, [320, 320, 320], 15.17, 2.8797
2, [320, 320, 384], 17.36, 1.9136
2, [320, 384, 384], 20.34, 2.1262
2, [384, 384, 384], 23.92, 2.9355
2, [384, 384, 448], 27.49, 3.0290
2, [384, 448, 448], 31.65, 3.6839
2, [448, 448, 448], 36.49, 3.5531
2, [448, 448, 512], 41.33, 3.8758
2, [448, 512, 512], 46.86, 4.9999
2, [512, 512, 512], 53.17, 5.0921
2, [512, 512, 576], 57.86, 5.7750
2, [512, 576, 576], 63.14, 6.1368
2, [576, 576, 576], 69.06, 6.6060
2, [576, 576, 640], 74.87, 7.8556
2, [576, 640, 640], 81.33, 8.3844
2, [640, 640, 640], 84.61, 8.7036
2, [640, 640, 704], 91.79, 9.8940
2, [640, 704, 704], 80.78, 11.0363
2, [704, 704, 704], 87.58, 12.2980
2, [704, 704, 768], 95.09, 12.5925
